"","preferd volume","jak-nife SE of volume","flexibility","jak-nife SE of flexibility","p-value"
"1318",121.02,14.12,111.59,89.66,0.03
"1319",128.52,14.27,135.29,49.31,0.17
"1320",124.59,18.58,125.29,110.94,0.16
"1321",123.93,22.04,126.25,81.75,0.15
"1323",124.97,14.14,125.32,52.97,0.18
"1324",130.46,31.76,149.92,164.71,0.3
"1326",128.83,15.48,127.33,75.76,0.2
"1328",127.17,14.25,107.64,55.91,0.08
"1329",128.79,18.24,111.8,91.38,0.04
"1330",124.92,193.44,120.09,664.59,0.13
"1333",134.13,34.29,155.59,47.62,0.42
"1334",127.99,384.55,118.63,1092.31,0.15
"1335",137.72,43.6,230.1,112.84,0.54
"1336",122.62,22.22,130.87,47.36,0.16
"1337",124.35,22.62,153.45,70.95,0.38
"1338",120.7,39.18,127.92,92.13,0.11
"1339",124.06,35.06,137.12,184.6,0.17
"1340",133.25,40.6,158.55,55.49,0.47
"1341",124.31,10.99,91.7,39.58,0.01
"1343",122.12,35.26,126.81,78.4,0.11
"1344",125.09,12.76,113.09,36.79,0.15
"1347",127.24,17.51,116.3,104.17,0.02
"1348",125.83,9.18,110.26,71.64,0.04
"1349",124.74,13.8,105.51,73.17,0.12
"1350",129.18,10.57,96.95,35.72,0.02
"1361",119.87,12.03,103.61,19.51,0.01
"1362",116.34,30.8,147.97,41.61,0.15
"1363",115.67,60.46,128.37,106.43,0.09
"1364",119.05,353.25,117.45,509.15,0.04
"1366",122.27,6.98,99.22,16.74,0
"1367",122.13,437.75,117.17,784.17,0.02
"1368",118.85,11.76,101.59,19.28,0
"1371",136.79,56.36,168.34,150.83,0.39
"1372",126.28,10.43,121.56,60.23,0.05
"1373",121.22,23.22,146.5,43.24,0.15
"1374",124.13,14.24,148.79,42.23,0.16
"1375",112.9,101.63,124.65,124.97,0.07
"1376",115,27.48,112.45,92.33,0.03
"1377",135.03,20.94,134.09,73.61,0.12
"1378",116.1,11.64,93.99,45.91,0
"1379",117.24,15.05,101.35,32.63,0.01
"1380",118.09,14.76,103.98,26.38,0.01
"1381",117.65,94.49,123.14,151.89,0.08
"1382",116.84,39.12,135.95,52.29,0.08
"1383",117.56,20.22,109.16,43.24,0.02
"1384",119.14,69.38,123.17,169.17,0.04
"1385",108.78,50.56,145.9,40.56,0.15
"1386",117.3,12.18,99.22,31.93,0
"1387",115.96,18.16,111.3,76.85,0.02
"1388",115.85,55.84,130.47,73.12,0.1
"1389",116.15,34.67,141.69,45.88,0.08
"1390",121.61,49.28,124,146.38,0.07
"1391",120.98,9.11,101.07,17.48,0.01
"1392",124.47,17.56,115.63,91.35,0.04
"1393",115.5,79.81,126.03,105.67,0.08
"1394",128.74,12.55,92.07,36.43,0
"1395",117.22,42.18,132.48,88.34,0.03
"1396",120.03,13.88,108.92,63.5,0
"1397",115.14,49.22,133.23,77.19,0.07
"1398",134.36,31.49,136.03,73.26,0.16
"1399",115.66,463.34,116.35,504.98,0.02
"1400",115.42,65.71,127.1,119.7,0.05
"1401",116.25,25.95,111.44,65.2,0
"1402",110.86,18.68,143.27,87.92,0.1
"1403",105.72,145.49,120.55,179.61,0.01
"1404",161.55,28.73,169.88,68.04,0.29
"1405",123.12,9.49,101.43,33.3,0.01
"1406",121.34,10.03,105.39,59.81,0
"1407",130.14,11.45,86.16,27.02,0
"1408",118.53,9.34,85.9,21.05,0
"1409",118.19,12.5,101.07,49.47,0
